id,created_at,city,state,income,interests,donation_budget,engagement_prefs,first_name,last_name
1,2020-06-26T08:01:55.734318,Lisafort,NY,75000,"[""senior services"", ""financial literacy""]",2462,"[""advocacy"", ""volunteer""]",Michael,Trevino
2,2022-02-03T00:48:04.695353,Friedmanhaven,CA,150000,"[""scientific research"", ""education""]",7244,"[""fundraise""]",Russell,Conrad
3,2021-06-02T02:08:24.659855,Patelburgh,NC,100000,"[""environmental law""]",4594,"[""volunteer"", ""donate""]",Shawn,Freeman
4,2023-12-06T07:23:23.543531,Heatherberg,NC,150000,"[""workforce development"", ""disaster relief""]",1699,"[""fundraise"", ""advocacy""]",Matthew,Garcia
5,2023-12-14T08:42:25.966335,New Kayla,NC,75000,"[""consumer protection"", ""arts"", ""disaster relief""]",3115,"[""volunteer""]",William,Li
6,2022-07-15T04:52:22.074373,North Kimberlymouth,NY,75000,"[""women's empowerment"", ""sustainable agriculture""]",2274,"[""donate"", ""fundraise""]",Philip,Sanchez
7,2020-05-08T02:35:37.433370,East Heather,WA,50000,"[""legal aid""]",1988,"[""fundraise"", ""advocacy""]",Blake,Martinez
8,2020-11-23T23:56:17.136331,Williamsview,FL,75000,"[""social justice"", ""reforestation"", ""veteran affairs""]",2446,"[""fundraise"", ""advocacy""]",Robert,Smith
9,2020-01-31T09:57:45.510881,Rowlandmouth,IL,100000,"[""refugee assistance"", ""environmental justice"", ""human rights""]",3425,"[""advocacy""]",Andrew,Hopkins
10,2022-08-07T17:26:14.780638,Swansonstad,IL,100000,"[""senior services"", ""hunger"", ""workforce development""]",1060,"[""donate""]",Curtis,Williams
11,2025-02-21T00:21:53.802894,Shaunstad,IL,25000,"[""environmental law"", ""international development"", ""veteran affairs""]",726,"[""fundraise"", ""donate""]",Joseph,Flores
12,2021-06-09T10:39:37.531395,Martinezmouth,IL,150000,"[""LGBTQ+ services"", ""refugee assistance"", ""medical research""]",6956,"[""donate"", ""fundraise""]",Tammy,Johnson
13,2021-10-26T00:27:33.417411,Ashleyside,FL,50000,"[""economic development"", ""pollinator protection""]",1883,"[""advocacy""]",Timothy,Andrews
14,2021-01-17T19:10:54.212967,Mariaborough,TX,50000,"[""mental health""]",1960,"[""advocacy"", ""donate""]",Amy,Davis
15,2021-01-14T12:53:12.500748,East Rebeccaberg,GA,75000,"[""public policy""]",1117,"[""fundraise""]",Samantha,Rodriguez
16,2020-05-05T08:33:21.511435,South Evan,IL,25000,"[""mental health""]",431,"[""volunteer"", ""advocacy""]",Rachel,York
17,2023-09-19T04:27:06.654049,Nelsonside,GA,150000,"[""disability rights"", ""animals"", ""technology access""]",1943,"[""fundraise""]",Ashley,Green
18,2024-04-06T15:29:59.999877,North Dianamouth,CA,250000,"[""disaster relief"", ""historic preservation"", ""climate""]",6287,"[""donate""]",Jerry,Johnson
19,2022-09-06T00:49:05.347920,Danielton,CA,75000,"[""marine conservation"", ""disaster relief"", ""international development""]",3439,"[""fundraise""]",Alexandra,Luna
20,2020-08-06T08:29:14.310794,Lake Richardview,OH,150000,"[""disability rights""]",4447,"[""donate""]",Michael,Jones
21,2021-01-28T02:23:03.357084,South Jessica,MA,100000,"[""marine conservation"", ""disability rights""]",4377,"[""volunteer"", ""donate""]",Susan,Lawson
22,2020-02-04T22:13:15.343356,Jillianview,NY,150000,"[""public policy"", ""land trust""]",4222,"[""advocacy""]",Arthur,Mcdonald
23,2021-07-07T00:12:10.481716,Singhmouth,NC,150000,"[""land trust""]",6235,"[""donate"", ""advocacy""]",Neil,Bennett
24,2022-11-17T05:42:07.669195,Loganstad,WA,75000,"[""financial literacy""]",817,"[""advocacy""]",Grace,Diaz
25,2021-09-02T15:32:45.631253,Jamesside,IL,100000,"[""veteran affairs"", ""medical research"", ""technology access""]",3756,"[""volunteer""]",Carolyn,Levine
26,2020-01-03T08:21:47.562786,Port Vanessaville,IL,250000,"[""volunteerism""]",5132,"[""advocacy"", ""donate""]",Angela,Mueller
27,2020-04-07T17:50:42.830487,Kellyborough,NY,250000,"[""historic preservation"", ""women's empowerment"", ""LGBTQ+ services""]",7273,"[""fundraise"", ""volunteer""]",Kathleen,Harris
28,2024-01-15T14:46:51.695621,Amyburgh,FL,250000,"[""peacebuilding"", ""wildlife"", ""conservation""]",7623,"[""advocacy"", ""volunteer""]",John,Daniels
29,2025-04-23T07:20:58.884570,West Jose,WA,150000,"[""environmental law""]",7098,"[""fundraise"", ""donate""]",Mary,Sanchez
30,2023-09-12T04:04:20.118586,South Mitchell,OH,75000,"[""civic engagement""]",2651,"[""fundraise"", ""donate""]",Robyn,Barrett
31,2025-04-11T15:21:47.823151,Lake Deniseville,FL,75000,"[""botanical gardens"", ""scientific research""]",3212,"[""advocacy"", ""volunteer""]",Austin,Gibson
32,2022-10-11T05:52:06.801913,Lake Courtney,CA,75000,"[""women's empowerment""]",2189,"[""advocacy""]",Matthew,Winters
33,2024-02-22T02:53:00.582716,Theresachester,NC,100000,"[""international development"", ""environmental law""]",4439,"[""donate"", ""volunteer""]",Michael,Wood
34,2021-01-02T22:49:32.924511,Underwoodfurt,TX,25000,"[""river conservation"", ""criminal justice reform""]",675,"[""fundraise""]",Patrick,Williams
35,2024-07-13T03:08:14.208196,Alexandraborough,NC,75000,"[""LGBTQ+ services""]",2769,"[""advocacy"", ""fundraise""]",Amber,Dominguez
36,2020-01-06T15:19:56.405759,Rossfurt,TX,150000,"[""technology access"", ""sustainable agriculture"", ""environmental law""]",1756,"[""donate""]",Johnny,White
37,2023-05-17T01:47:07.248904,Brentland,MA,100000,"[""human rights""]",2846,"[""donate"", ""fundraise""]",Deborah,Hudson
